path,package_or_target,target_kind,source_kind,role,line_count,imports,major_types,implemented_responsibility,migration_leftover_count,migration_leftovers,cleanup_notes,test_coverage_signal,repo_skill_alignment,general_best_practice_alignment,risk_level,print_count,logger_calls_inside_debug_count,task_detached_count,userdefaults_did_change_count,geometry_reader_count,public_declaration_count,public_doc_comment_count
Ensemble/App/AppDelegate.swift,Ensemble app,App target,Sources,"App delegate integration for audio, launch restore, Siri handoff, background events",1459,AVFoundation; AppIntents; EnsembleCore; EnsembleSiriShared; GameController; Intents; UIKit; os,class AppDelegate; extension UIInterfaceOrientationMask; struct ExtensionSiriPayloadIdentifier; enum SiriPlaybackExecutionGate; class InAppPlayMediaIntentHandler; enum SpaceBarPlaybackShortcut; extension UIApplication,"Implements AppDelegate, ExtensionSiriPayloadIdentifier, SiriPlaybackExecutionGate, InAppPlayMediaIntentHandler for app delegate integration for audio, launch restore, siri handoff, background events.",0,,"Large file: audit for nested helpers or policy seams that can move to existing shared owners. | Review detached tasks for cancellation, actor isolation, and priority against subsystem policy.",No obvious direct test signal found.,Matches app-target integration boundary over packages.,"No print usage found. Large file; review cohesive type/extension boundaries over time. Task.detached usage should retain explicit priority, cancellation, and actor-isolation reasoning.",medium,0,0,3,0,0,0,0
Ensemble/App/EnsembleApp.swift,Ensemble app,App target,Sources,"App entry point, scene wiring, commands, lifecycle coordination",674,AppKit; BackgroundTasks; EnsembleCore; EnsembleUI; Intents; OSLog; SwiftUI; os,enum AppLogger; struct EnsembleApp; extension View; class MacAppDelegate; enum MacPlaybackShortcut; extension Scene,"Implements AppLogger, EnsembleApp, MacAppDelegate, MacPlaybackShortcut for app entry point, scene wiring, commands, lifecycle coordination.",0,,"Medium-large file: keep an eye on responsibility creep. | Review detached tasks for cancellation, actor isolation, and priority against subsystem policy.",No obvious direct test signal found.,Matches app-target integration boundary over packages.,"No print usage found. Task.detached usage should retain explicit priority, cancellation, and actor-isolation reasoning.",medium,0,0,2,0,0,0,0
Ensemble/App/EnsembleAppShortcuts.swift,Ensemble app,App target,Sources,"App entry point, scene wiring, commands, lifecycle coordination",312,AppIntents; EnsembleCore; EnsembleSiriShared; Foundation; OSLog,enum SiriAppShortcutLogger; enum SiriIndexLookup; struct EnsembleAlbumEntity; struct EnsembleAlbumEntityQuery; struct EnsemblePlaylistEntity; struct EnsemblePlaylistEntityQuery; struct SiriShortcutPlaybackExecutor; struct PlayEnsembleAlbumIntent; struct PlayEnsemblePlaylistIntent; struct EnsembleAppShortcutsProvider,"Implements SiriAppShortcutLogger, SiriIndexLookup, EnsembleAlbumEntity, EnsembleAlbumEntityQuery for app entry point, scene wiring, commands, lifecycle coordination.",0,,Move diagnostic logger calls out from #if DEBUG unless surrounding code must be debug-only.,No obvious direct test signal found.,Matches app-target integration boundary over packages. Needs logging-policy review: logger calls appear inside #if DEBUG.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,high,0,5,0,0,0,0,0
Ensemble/App/ExternalDisplaySceneDelegate.swift,Ensemble app,App target,Sources,External display scene delegate and AirPlay screen host,135,EnsembleCore; EnsembleUI; SwiftUI; UIKit; os,class ExternalDisplaySceneDelegate,Implements ExternalDisplaySceneDelegate for external display scene delegate and airplay screen host.,0,,No immediate cleanup note from static scan; revisit when touching related behavior.,No obvious direct test signal found.,Matches app-target integration boundary over packages.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
EnsembleSiriIntentsExtension/AddMediaIntentHandler.swift,Siri intents extension,Extension target,Sources,SiriKit media intent extension handling and shared-index lookup,148,EnsembleSiriShared; Foundation; Intents; os,class AddMediaIntentHandler,Implements AddMediaIntentHandler for sirikit media intent extension handling and shared-index lookup.,0,,No immediate cleanup note from static scan; revisit when touching related behavior.,No obvious direct test signal found.,Matches extension boundary by using EnsembleSiriShared instead of linking Core.,No print usage found. Public API documentation appears incomplete (0/4 declarations with immediate doc comments).,low,0,0,0,0,0,4,0
EnsembleSiriIntentsExtension/IntentHandler.swift,Siri intents extension,Extension target,Sources,SiriKit media intent extension handling and shared-index lookup,27,Intents; os,class IntentHandler,Implements IntentHandler for sirikit media intent extension handling and shared-index lookup.,0,,No immediate cleanup note from static scan; revisit when touching related behavior.,No obvious direct test signal found.,Matches extension boundary by using EnsembleSiriShared instead of linking Core.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
EnsembleSiriIntentsExtension/PlayMediaIntentHandler.swift,Siri intents extension,Extension target,Sources,SiriKit media intent extension handling and shared-index lookup,577,EnsembleSiriShared; Foundation; Intents; os,class PlayMediaIntentHandler,Implements PlayMediaIntentHandler for sirikit media intent extension handling and shared-index lookup.,0,,No immediate cleanup note from static scan; revisit when touching related behavior.,No obvious direct test signal found.,Matches extension boundary by using EnsembleSiriShared instead of linking Core.,No print usage found. Public API documentation appears incomplete (0/3 declarations with immediate doc comments).,low,0,0,0,0,0,3,0
EnsembleSiriIntentsExtension/SiriMatchingHelpers.swift,Siri intents extension,Extension target,Sources,SiriKit media intent extension handling and shared-index lookup,94,EnsembleSiriShared; Foundation,struct SiriMediaIndexSnapshot; struct SiriMediaIndexItemSnapshot; struct RankedItem; struct SiriPayloadIdentifier; enum SiriMatchingHelpers,"Implements SiriMediaIndexSnapshot, SiriMediaIndexItemSnapshot, RankedItem, SiriPayloadIdentifier for sirikit media intent extension handling and shared-index lookup.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,No obvious direct test signal found.,Matches extension boundary by using EnsembleSiriShared instead of linking Core.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
EnsembleSiriIntentsExtension/UpdateMediaAffinityIntentHandler.swift,Siri intents extension,Extension target,Sources,SiriKit media intent extension handling and shared-index lookup,107,EnsembleSiriShared; Foundation; Intents; os,class UpdateMediaAffinityIntentHandler,Implements UpdateMediaAffinityIntentHandler for sirikit media intent extension handling and shared-index lookup.,0,,No immediate cleanup note from static scan; revisit when touching related behavior.,No obvious direct test signal found.,Matches extension boundary by using EnsembleSiriShared instead of linking Core.,No print usage found. Public API documentation appears incomplete (0/4 declarations with immediate doc comments).,low,0,0,0,0,0,4,0
EnsembleWatch/App/EnsembleWatchApp.swift,EnsembleWatch,Watch target,Sources,watchOS target entry/view layer,13,EnsembleCore; SwiftUI; WatchKit,struct EnsembleWatchApp,Implements EnsembleWatchApp for watchos target entry/view layer.,0,,No immediate cleanup note from static scan; revisit when touching related behavior.,No obvious direct test signal found.,No obvious conflict with loaded project skills from static scan.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
EnsembleWatch/Views/WatchRootView.swift,EnsembleWatch,Watch target,Sources,watchOS target entry/view layer,232,EnsembleCore; SwiftUI,struct WatchRootView; struct WatchLoginView; struct WatchMainView; struct WatchNowPlayingView; struct WatchLibraryView,"Implements WatchRootView, WatchLoginView, WatchMainView, WatchNowPlayingView for watchos target entry/view layer.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,No obvious direct test signal found.,Diverges from known-issues: watchOS auth references missing DependencyContainer.makeAuthViewModel/AuthViewModel; deferred but still critical.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,critical,0,0,0,0,0,0,0
Packages/EnsembleAPI/Package.swift,EnsembleAPI,Package,Package manifest,Swift package manifest and dependency/platform declaration,33,PackageDescription,,"Declares the EnsembleAPI Swift package platforms, products, dependencies, targets, and tests.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,Covered indirectly by package build/test resolution.,Aligned with layered package architecture and iOS 15/macOS 12/watchOS 8 platform baseline.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
Packages/EnsembleAPI/Sources/Auth/KeychainService.swift,EnsembleAPI,Package,Sources,Plex authentication and keychain-token lifecycle,77,Foundation,protocol KeychainServiceProtocol; extension KeychainServiceProtocol; class KeychainService; enum KeychainKey,"Implements KeychainServiceProtocol, KeychainService, KeychainKey for plex authentication and keychain-token lifecycle.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,"Obvious related tests: Packages/EnsembleAPI/Tests/PlexAPIClientFailoverPolicyTests.swift, Packages/EnsembleAPI/Tests/PlexAPIClientTests.swift, Packages/EnsembleAPI/Tests/PlexResourcesSpecTests.swift, Packages/EnsembleCore/Tests/AccountManagerAuthPolicyTests.swift (+14 more).",Matches architecture networking layer.,No print usage found. Public API documentation appears incomplete (3/10 declarations with immediate doc comments).,low,0,0,0,0,0,10,3
Packages/EnsembleAPI/Sources/Auth/PlexAuthService.swift,EnsembleAPI,Package,Sources,Plex authentication and keychain-token lifecycle,203,Foundation; UIKit,enum PlexAuthError; struct PlexAuthState; actor PlexAuthService,"Implements PlexAuthError, PlexAuthState, PlexAuthService for plex authentication and keychain-token lifecycle.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,"Obvious related tests: Packages/EnsembleAPI/Tests/PlexAuthTokenLifecycleTests.swift, Packages/EnsembleCore/Tests/AddPlexAccountViewModelTests.swift.",Matches architecture networking layer.,No print usage found. Public API documentation appears incomplete (3/11 declarations with immediate doc comments).,low,0,0,0,0,0,11,3
Packages/EnsembleAPI/Sources/Auth/PlexAuthTokenMetadata.swift,EnsembleAPI,Package,Sources,Plex authentication and keychain-token lifecycle,46,Foundation,struct PlexAuthTokenMetadata; enum PlexJWTParser,"Implements PlexAuthTokenMetadata, PlexJWTParser for plex authentication and keychain-token lifecycle.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,"Obvious related tests: Packages/EnsembleCore/Tests/AccountManagerAuthPolicyTests.swift, Packages/EnsembleCore/Tests/MusicSourceAccountDetailViewModelTests.swift.",Matches architecture networking layer.,No print usage found. Public API documentation appears incomplete (1/6 declarations with immediate doc comments).,low,0,0,0,0,0,6,1
Packages/EnsembleAPI/Sources/Client/ConnectionFailoverManager.swift,EnsembleAPI,Package,Sources,"Plex networking client, endpoint routing, failover, and transport helpers",601,Foundation,actor ConnectionFailoverManager; struct ConnectionHealth,"Implements ConnectionFailoverManager, ConnectionHealth for plex networking client, endpoint routing, failover, and transport helpers.",0,,Medium-large file: keep an eye on responsibility creep. | Move diagnostic logger calls out from #if DEBUG unless surrounding code must be debug-only.,"Obvious related tests: Packages/EnsembleAPI/Tests/ConnectionFailoverManagerTests.swift, Packages/EnsembleCore/Tests/ServerHealthCheckerClassificationTests.swift.",Matches architecture networking layer. Needs logging-policy review: logger calls appear inside #if DEBUG.,No print usage found. Public API documentation appears incomplete (9/13 declarations with immediate doc comments).,high,0,19,0,0,0,13,9
Packages/EnsembleAPI/Sources/Client/PlexAPIClient+Connections.swift,EnsembleAPI,Package,Sources,"Plex networking client, endpoint routing, failover, and transport helpers",82,Foundation,extension PlexAPIClient; struct PlexServerRootResponse; enum CodingKeys,"Implements PlexServerRootResponse, CodingKeys for plex networking client, endpoint routing, failover, and transport helpers.",0,,Move diagnostic logger calls out from #if DEBUG unless surrounding code must be debug-only.,No obvious direct package test signal found by static name/content scan.,Matches architecture networking layer. Needs logging-policy review: logger calls appear inside #if DEBUG.,No print usage found. Public API documentation appears incomplete (4/7 declarations with immediate doc comments).,low,0,3,0,0,0,7,4
